x,h_analytical,h_sim
75.8750,0.000000,0.000000
76.1250,0.000000,0.000000
76.3750,0.000000,0.000000
76.6250,0.000000,0.000000
76.8750,0.000000,0.000000
77.1250,0.000000,0.000000
77.3750,0.000000,0.000000
77.6250,0.000000,0.000000
77.8750,0.000000,0.000000
78.1250,0.000000,0.000000
78.3750,0.000000,0.000000
78.6250,0.000000,0.000000
78.8750,0.000000,0.000000
79.1250,0.000000,0.000000
79.3750,0.000000,0.000000
79.6250,0.000000,0.000000
79.8750,0.000000,0.000000
80.1250,0.000000,0.000000
80.3750,0.000000,0.000000
80.6250,0.000000,0.000000
80.8750,0.000000,0.000000
81.1250,0.000000,0.000000
81.3750,0.000000,0.000000
81.6250,0.000000,0.000000
81.8750,0.000000,0.000000
82.1250,0.000000,0.000000
82.3750,0.000000,0.000000
82.6250,0.000000,0.000000
82.8750,0.000000,0.000000
83.1250,0.000000,0.000000
83.3750,0.000000,0.000000
83.6250,0.000000,0.000000
83.8750,0.000000,0.000000
84.1250,0.000000,0.000000
84.3750,0.000000,0.000000
84.6250,0.000000,0.000000
84.8750,0.000000,0.000000
85.1250,0.000000,0.000000
85.3750,0.000000,0.000000
85.6250,0.000000,0.000000
85.8750,0.000000,0.000000
86.1250,0.000000,0.000000
86.3750,0.000000,0.000000
86.6250,0.000000,0.000000
86.8750,0.000000,0.000000
87.1250,0.000000,0.000000
87.3750,0.000000,0.000000
87.6250,0.000000,0.000000
87.8750,0.000000,0.000000
88.1250,0.000000,0.000000
88.3750,0.000000,0.000000
88.6250,0.000000,0.000000
88.8750,0.000000,0.000000
89.1250,0.000000,0.000000
89.3750,0.000000,0.000000
89.6250,0.000000,0.000000
89.8750,0.000000,0.000000
90.1250,0.000000,0.000000
90.3750,0.000000,0.000000
90.6250,0.000000,0.000000
90.8750,0.000000,0.000000
91.1250,0.000000,0.000000
91.3750,0.000000,0.000000
91.6250,0.000000,0.000000
91.8750,0.000000,0.000000
92.1250,0.000000,0.000000
92.3750,0.000000,0.000000
92.6250,0.000000,0.000000
92.8750,0.000000,0.000000
93.1250,0.000000,0.000000
93.3750,0.000000,0.000000
93.6250,0.000000,0.000000
93.8750,0.000000,0.000000
94.1250,0.000000,0.000000
94.3750,0.000000,0.000000
94.6250,0.000000,0.000000
94.8750,0.000000,0.000000
95.1250,0.000000,0.000000
95.3750,0.000000,0.000000
95.6250,0.000000,0.000000
95.8750,0.000000,0.000000
96.1250,0.000000,0.000000
96.3750,0.000000,0.000000
96.6250,0.000000,0.000000
96.8750,0.000000,0.000000
97.1250,0.000000,0.000000
97.3750,0.000000,0.000000
97.6250,0.000000,0.000000
97.8750,0.000000,0.000000
98.1250,0.000000,0.000000
98.3750,0.000000,0.000000
98.6250,0.000000,0.000000
98.8750,0.000000,0.000000
99.1250,0.000000,0.000000
99.3750,0.000000,0.000000
99.6250,0.000000,0.000000
99.8750,0.000000,0.000000
